texto,categoria
"buenos dias, el bebedero de la plaza de calle Arturo Prat no funciona hace tiempo y con el calor los ninos necesitan tomar agua. Gracias de antemano!!",Áreas Verdes
"hola municipio, el semaforo de la esquina de Independencia con la principal lleva varias semanas malo y esta generando tacos y accidentes. Quedo atento a una respuesta.",Vialidad y Pavimentación
los vecinos del centro estamos organizando rondas propias porque los robos no paran y la municipalidad no ha respondido. Quedo atento a una respuesta.,Seguridad Ciudadana
"buenas tardes, hay un colchon y varios muebles viejos botados hace un mes al fondo del pasaje, porfavor manden a retirarlos. Ya no sabemos a quien mas recurrir.",Aseo y Ornato
"en la plaza de Villa Sol Naciente los columpios estan quebrados hace tiempo y los ninos igual los usan, alguien se puede lesionar. Quedo atento a una respuesta!!",Áreas Verdes
"hay un galpon en Poblacion Cordillera que funciona como bodega sin permiso de funcionamiento, ademas genera mucho ruido de camiones en la noche. Ojala le puedan poner atencion a esto!!",Permisos y Patentes Comerciales
"estimados, el pasto y la maleza de la vereda en calle Las Encinas ya casi tapan la calzada, ademas hay bastante basura acumulada. Gracias de antemano.",Aseo y Ornato
"hay un galpon en Villa Portales que funciona como bodega sin permiso de funcionamiento, ademas genera mucho ruido de camiones en la noche. Gracias de antemano.",Permisos y Patentes Comerciales
"en la plaza de Villa El Trebol los columpios estan quebrados hace tiempo y los ninos igual los usan, alguien se puede lesionar. Ya no sabemos a quien mas recurrir.",Áreas Verdes
"la vereda de calle Colon esta rota hace una semana, las senoras con coche de guagua tienen q bajarse a la calle para pasar. Gracias de antemano.",Vialidad y Pavimentación
"Buen dia, el bebedero de la plaza de calle Los Alamos no funciona hace tiempo y con el calor los ninos necesitan tomar agua. Ojala le puedan poner atencion a esto.",Áreas Verdes
"la plaza del pasaje de atras quedo destruida despues de una fiesta del fin de semana, rompieron bancas y plantas, hay q reponer todo. Ojala le puedan poner atencion a esto.",Áreas Verdes
las rejillas de aguas lluvias de calle Colon estan tapadas y cuando llueve se inunda toda la cuadra.,Vialidad y Pavimentación
"al lado de la sede vecinal hay un perro muerto en la calle hace como varios meses y nadie lo ha retirado, da mucho asco y hay moscas por todos lados. Gracias de antemano!!",Aseo y Ornato
"llevamos un mes esperando que repongan el pavimento de calle Independencia, quedo puro hoyo despues de las obras del alcantarillado!!",Vialidad y Pavimentación
"el poste que esta frente a mi casa en calle Los Castanos tiene la luz encendida todo el dia y de noche se apaga, esta al reves. Ojala le puedan poner atencion a esto!!",Alumbrado Público
"Hola, reclamo pq las luminarias nuevas que pusieron en calle Los Alamos quedaron mal instaladas y se apagan solas cada rato. Gracias de antemano",Alumbrado Público
"reclamo xq instalaron una discoteca improvisada en una casa de calle Circunvalacion, cobran entrada y no creo que tengan patente para eso. Saludos.",Permisos y Patentes Comerciales
"hace falta un lomo de toro urgente en calle Santa Rosa al lado de la sede vecinal, los autos pasan como si fuera autopista y ya casi atropellan a un vecino. Ojala le puedan poner atencion a esto.",Vialidad y Pavimentación
"en la plaza de Poblacion El Progreso los columpios estan quebrados hace tiempo y los ninos igual los usan, alguien se puede lesionar. Quedo atento a una respuesta!!",Áreas Verdes
"Buen dia, reclamo pq las luminarias nuevas que pusieron en calle Diego Portales quedaron mal instaladas y se apagan solas cada rato. Saludos!!",Alumbrado Público
"hace tiempo que pedimos mas alumbrado en el pasaje de Poblacion San Rafael, esta todo oscuro y varias vecinas tienen miedo de volver de noche.",Alumbrado Público
"los hoyos de calle Los Naranjos estan cada vez mas grandes, se ve el fierro de las canerias, es un peligro para las motos. Gracias de antemano!!",Vialidad y Pavimentación
"hola municipio, hace un par de semanas que no funciona ningun poste de luz en calle San Martin al lado de la sede vecinal, de noche queda todo oscuro y da miedo caminar. Espero una pronta solucion.",Alumbrado Público
"Sr. alcalde, hace casi 2 semanas que no riegan las areas verdes de calle Simon Bolivar, todo el pasto se esta secando y los arboles nuevos se van a morir. Quedo atento a una respuesta",Áreas Verdes
"Hola, el restaurant del sector poniente boto sus desechos a la calle de nuevo, ademas dudo que tenga los permisos sanitarios al dia.",Permisos y Patentes Comerciales
el local nocturno de calle Los Alamos sigue funcionando pasada la hora permitida y los vecinos no podemos dormir por el bullicio. Porfavor tomen cartas en el asunto.,Permisos y Patentes Comerciales
"hola, en la Poblacion San Rafael hay un microbasural enorme que se esta formando en el sitio eriazo, la gente sigue tirando basura y nadie hace nada. Quedo atento a una respuesta.",Aseo y Ornato
"llevamos bastante tiempo esperando que repongan el pavimento de calle Las Camelias, quedo puro hoyo despues de las obras del alcantarillado.",Vialidad y Pavimentación
"Hola municipio, el paso peatonal frente al colegio del centro esta borrado hace tiempo y los autos no respetan a los ninos que cruzan. Muchas gracias por su tiempo.",Vialidad y Pavimentación
"nadie barre las veredas de Poblacion Santa Elena hace varias semanas, esta lleno de hojas y tierra, se ve muy descuidado el sector. Saludos!!",Aseo y Ornato
"en la plaza de Poblacion San Rafael los columpios estan quebrados hace tiempo y los ninos igual los usan, alguien se puede lesionar. Ya no sabemos a quien mas recurrir",Áreas Verdes
"Hola, hace casi 2 semanas que no funciona ningun poste de luz en calle Padre Hurtado atras del colegio, de noche queda todo oscuro y da miedo caminar. Saludos.",Alumbrado Público
"hola, el local que abrieron en calle Diego Portales pone musica hasta muy tarde y creo q no tiene patente para funcionar asi. Espero puedan solucionarlo pronto, gracias",Permisos y Patentes Comerciales
"hay un grupo que se junta a consumir drogas todas las noches en la esquina de calle Vicuna Mackenna, los vecinos ya no sabemos que hacer. Espero una pronta solucion.",Seguridad Ciudadana
"hace bastante tiempo que un grupo de encapuchados anda rondando por calle Padre Hurtado, varios vecinos ya llamaron a carabineros pero no llegan a tiempo. Saludos",Seguridad Ciudadana
los postes de luz de la cuadra de la plaza se apagan como a las 11 de la noche y quedamos completamente a oscuras hasta el otro dia. Ya no sabemos a quien mas recurrir.,Alumbrado Público
"Buenas tardes, necesitamos que poden los arboles de calle El Roble porque las ramas ya estan tocando los cables de luz. Gracias de antemano.",Áreas Verdes
"buenos dias, llevamos varios meses sin luz en todo el pasaje de calle Diego Portales, ya reclamamos por telefono y no ha pasado nada. Espero puedan solucionarlo pronto, gracias.",Alumbrado Público
"la vereda de calle Los Alamos esta rota hace mas de un mes, las senoras con coche de guagua tienen q bajarse a la calle para pasar.",Vialidad y Pavimentación
"falta señaletica de pare en la esquina de calle Arturo Prat, ya hubo dos choques este mes por eso mismo. Muchas gracias por su tiempo.",Vialidad y Pavimentación
"en la esquina de El Roble instalaron un carrito de comida sin ningun permiso, ademas deja toda la vereda sucia. Muchas gracias por su tiempo.",Permisos y Patentes Comerciales
"en la Poblacion Santa Elena la plaza esta abandonada, el pasto crecido, los arbustos sin podar y da la sensacion de que a nadie le importa. Quedo atento a una respuesta.",Áreas Verdes
"hay pandillas de jovenes que se juntan a hacer destrozos en la plaza del pasaje de atras, rompen bancas y asustan a los vecinos. Gracias de antemano.",Seguridad Ciudadana
"Buenas tardes, hay actos de vandalismo constantes en Villa El Mirador, rayan las casas y rompen los vidrios de los autos estacionados. Espero una pronta solucion",Seguridad Ciudadana
"hay un galpon en Villa El Trebol que funciona como bodega sin permiso de funcionamiento, ademas genera mucho ruido de camiones en la noche. Espero puedan solucionarlo pronto, gracias.",Permisos y Patentes Comerciales
cerca del paradero el agua de lluvia se acumula en la calle y forma una laguna enorme porque no hay rejillas de desague. Muchas gracias por su tiempo.,Vialidad y Pavimentación
"Hola, necesitamos que poden los arboles de calle Padre Hurtado porque las ramas ya estan tocando los cables de luz. Muchas gracias por su tiempo.",Áreas Verdes
"sr. alcalde, necesitamos que poden los arboles de calle Arturo Prat porque las ramas ya estan tocando los cables de luz.",Áreas Verdes
"el pavimento de la Poblacion Los Heroes tiene grietas enormes por todos lados, cuando llueve se hacen unas pozas gigantes. Saludos",Vialidad y Pavimentación
"el poste que esta frente a mi casa en calle Simon Bolivar tiene la luz encendida todo el dia y de noche se apaga, esta al reves. Porfavor tomen cartas en el asunto",Alumbrado Público
"quiero reclamar por el aseo de calle Los Alerces, esta lleno de colillas, papeles y basura, y el barrendero no pasa hace tiempo. Ya no sabemos a quien mas recurrir!!",Aseo y Ornato
"quiero denunciar que en calle Circunvalacion hay una casa que parece un punto de venta de drogas, entra y sale gente a toda hora. Saludos",Seguridad Ciudadana
"hay un grupo que se junta a consumir drogas todas las noches en la esquina de calle Santa Rosa, los vecinos ya no sabemos que hacer. Porfavor tomen cartas en el asunto.",Seguridad Ciudadana
"hace una semana que no retiran los escombros que dejaron en la vereda de calle Los Castanos, al fondo del pasaje, y estan estorbando el paso de la gente. Espero puedan solucionarlo pronto, gracias!!",Aseo y Ornato
"hola municipio, el poste de calle Los Jazmines quedo colgando despues de un choque hace una semana y nadie lo ha venido a reparar, es peligroso.",Alumbrado Público
quiero reclamar xq hay un almacen frente a la iglesia que vende alcohol a menores y no se si tiene la patente correspondiente. Quedo atento a una respuesta.,Permisos y Patentes Comerciales
"el juego de resbalin de la plaza del pasaje de atras esta oxidado y con el fierro filoso, ya casi corta a un nino. Saludos.",Áreas Verdes
en Poblacion Nueva Amanecer hay varios postes sin luz y de noche los delincuentes aprovechan la oscuridad para hacer de las suyas.,Alumbrado Público
"Hola municipio, el pasto y la maleza de la vereda en calle Yungay ya casi tapan la calzada, ademas hay bastante basura acumulada. Porfavor tomen cartas en el asunto.",Aseo y Ornato
al lado de la sede vecinal el agua de lluvia se acumula en la calle y forma una laguna enorme porque no hay rejillas de desague. Ya no sabemos a quien mas recurrir.,Vialidad y Pavimentación
los vecinos de la cuadra de la plaza estamos organizando rondas propias porque los robos no paran y la municipalidad no ha respondido. Espero una pronta solucion.,Seguridad Ciudadana
"sr. alcalde, el restaurant del barrio alto boto sus desechos a la calle de nuevo, ademas dudo que tenga los permisos sanitarios al dia. Saludos.",Permisos y Patentes Comerciales
"quiero reclamar por el aseo de calle Vicuna Mackenna, esta lleno de colillas, papeles y basura, y el barrendero no pasa hace tiempo!!",Aseo y Ornato
hace 20 dias que el poste de la esquina de El Roble esta apagado y justo ahi es donde han asaltado a dos vecinos ultimamente. Quedo atento a una respuesta.,Alumbrado Público
"Buenos dias, en la Poblacion El Bosque hay un microbasural enorme que se esta formando en el sitio eriazo, la gente sigue tirando basura y nadie hace nada. Ya no sabemos a quien mas recurrir.",Aseo y Ornato
"hay pandillas de jovenes que se juntan a hacer destrozos en la plaza de la esquina, rompen bancas y asustan a los vecinos. Espero una pronta solucion.",Seguridad Ciudadana
"hay un arbol en la plaza de la villa de al lado que esta a punto de caerse, las raices ya levantaron toda la vereda de alrededor. Espero una pronta solucion.",Áreas Verdes
"Hola municipio, el bebedero de la plaza de calle Arturo Prat no funciona hace tiempo y con el calor los ninos necesitan tomar agua. Ya no sabemos a quien mas recurrir.",Áreas Verdes
"hay comercio ambulante instalado hace 10 dias por el sector poniente sin ningun permiso, ocupan toda la vereda y no dejan pasar a la gente. Gracias de antemano.",Permisos y Patentes Comerciales
los vecinos de la cuadra de la plaza estamos organizando rondas propias porque los robos no paran y la municipalidad no ha respondido. Gracias de antemano.,Seguridad Ciudadana
"en Villa El Retiro las calles de tierra se llenan de barro cuando llueve, ya no se puede ni caminar, necesitamos pavimentacion urgente!!",Vialidad y Pavimentación
"los hoyos de calle Los Jazmines estan cada vez mas grandes, se ve el fierro de las canerias, es un peligro para las motos. Quedo atento a una respuesta.",Vialidad y Pavimentación
"Sr. alcalde, hay actos de vandalismo constantes en Villa Portales, rayan las casas y rompen los vidrios de los autos estacionados. Saludos.",Seguridad Ciudadana
"buen dia, el pavimento de la Poblacion Cordillera tiene grietas enormes por todos lados, cuando llueve se hacen unas pozas gigantes. Saludos.",Vialidad y Pavimentación
el local nocturno de calle Los Aromos sigue funcionando pasada la hora permitida y los vecinos no podemos dormir por el bullicio. Saludos.,Permisos y Patentes Comerciales
los vecinos del sector poniente llevamos mas de 20 dias pidiendo que manden a limpiar el canal que esta lleno de basura y da mal olor. Ya no sabemos a quien mas recurrir!!,Aseo y Ornato
"quiero reclamar xq las luces de la plaza de Villa El Trebol nunca las prenden aunque este oscuro, parece que el sensor esta malo. Espero puedan solucionarlo pronto, gracias",Alumbrado Público
"hay un galpon en Poblacion Cordillera que funciona como bodega sin permiso de funcionamiento, ademas genera mucho ruido de camiones en la noche. Ya no sabemos a quien mas recurrir",Permisos y Patentes Comerciales
las rejillas de aguas lluvias de calle Los Almendros estan tapadas y cuando llueve se inunda toda la cuadra.,Vialidad y Pavimentación
"hola municipio, el pasto y la maleza de la vereda en calle Errazuriz ya casi tapan la calzada, ademas hay bastante basura acumulada. Ya no sabemos a quien mas recurrir.",Aseo y Ornato
"el foco de la esquina de mi casa en Manuel Rodriguez esta quemado hace varios meses, ya avise antes y nadie ha venido a cambiarlo. Saludos.",Alumbrado Público
en Poblacion Vista Hermosa hay varios postes sin luz y de noche los delincuentes aprovechan la oscuridad para hacer de las suyas. Espero una pronta solucion.,Alumbrado Público
"estimados, el pasto de la plaza de Villa Esperanza no lo cortan hace bastante tiempo, ya esta enorme y se esconden ahi los perros vagos. Espero una pronta solucion.",Áreas Verdes
"sr. alcalde, hace 10 dias que no funciona ningun poste de luz en calle Los Castanos cerca del jardin infantil, de noche queda todo oscuro y da miedo caminar. Gracias de antemano",Alumbrado Público
quiero reclamar xq los contenedores de basura de mi calle estan siempre rebalsados y los perros vagos rompen las bolsas y dejan la tierra tirada. Espero una pronta solucion,Aseo y Ornato
la vereda de la cuadra de la plaza esta toda levantada por las raices de un arbol y varias personas se han caido ahi. Ya no sabemos a quien mas recurrir.,Vialidad y Pavimentación
"asaltaron a un vecino a mano armada en la esquina de Errazuriz hace mas de 20 dias, necesitamos mas presencia policial urgente. Ya no sabemos a quien mas recurrir",Seguridad Ciudadana
quiero reclamar xq dejaron la calle Circunvalacion abierta despues de un arreglo de agua potable hace 20 dias y no la han vuelto a pavimentar. Espero una pronta solucion.,Vialidad y Pavimentación
"Hola municipio, el bar que esta cerca de mi casa en Villa Los Pinos hace un ruido tremendo todos los fines de semana hasta el amanecer. Porfavor tomen cartas en el asunto",Permisos y Patentes Comerciales
"buenos dias, pedimos mas rondas de carabineros para Poblacion Nueva Amanecer porque hace un mes hubo dos asaltos en la misma cuadra. Saludos.",Seguridad Ciudadana
"Buenos dias, hay actos de vandalismo constantes en Villa Esperanza, rayan las casas y rompen los vidrios de los autos estacionados. Espero una pronta solucion.",Seguridad Ciudadana
"quiero reclamar xq cortaron mal los arboles de la plaza del pasaje de atras y quedaron puros palos pelados, se ve horrible. Porfavor tomen cartas en el asunto!!",Áreas Verdes
"buenas tardes, hay un negocio cerca de la cancha que hace fiestas clandestinas los fines de semana, con musica fuerte y venta de alcohol sin permiso. Gracias de antemano.",Permisos y Patentes Comerciales
"el pavimento de calle Santa Rosa esta totalmente destrozado, cada vez q llueve se llena de agua y no se puede pasar. Espero puedan solucionarlo pronto, gracias.",Vialidad y Pavimentación
"quiero reclamar xq las luces de la plaza de Villa Sol Naciente nunca las prenden aunque este oscuro, parece que el sensor esta malo.",Alumbrado Público
"los juegos infantiles de la plaza Poblacion El Progreso estan todos oxidados y rotos, mi hija se corto con un fierro el otro dia. Espero una pronta solucion.",Áreas Verdes
quiero reclamar xq no hay camaras de seguridad por el sector poniente y ahi es donde mas robos se producen segun los vecinos. Muchas gracias por su tiempo!!,Seguridad Ciudadana
"quiero denunciar que en calle Las Torres hay una casa que parece un punto de venta de drogas, entra y sale gente a toda hora. Porfavor tomen cartas en el asunto.",Seguridad Ciudadana
"en la Poblacion El Progreso la plaza esta abandonada, el pasto crecido, los arbustos sin podar y da la sensacion de que a nadie le importa. Gracias de antemano.",Áreas Verdes
"Hola, el local que abrieron en calle Santa Rosa pone musica hasta muy tarde y creo q no tiene patente para funcionar asi. Ojala le puedan poner atencion a esto.",Permisos y Patentes Comerciales
"hace falta un lomo de toro urgente en calle Balmaceda cerca de la plaza, los autos pasan como si fuera autopista y ya casi atropellan a un vecino. Espero una pronta solucion.",Vialidad y Pavimentación
"buenos dias, necesitamos urgente mas iluminacion en la esquina porque en la noche no se ve nada y da temor para las senoras que llegan solas!!",Alumbrado Público
quiero saber pq el local de calle Santa Rosa sigue abierto si los vecinos ya denunciamos que no tiene patente comercial vigente. Espero una pronta solucion.,Permisos y Patentes Comerciales
la vereda del pasaje de atras esta toda levantada por las raices de un arbol y varias personas se han caido ahi. Quedo atento a una respuesta!!,Vialidad y Pavimentación
"estimados, el paso peatonal frente al colegio del barrio alto esta borrado hace tiempo y los autos no respetan a los ninos que cruzan. Saludos.",Vialidad y Pavimentación
"Buenas tardes, hay un colchon y varios muebles viejos botados hace 20 dias frente al almacen de la esquina, porfavor manden a retirarlos. Muchas gracias por su tiempo.",Aseo y Ornato
hace bastante tiempo que reclamamos por el negocio de comida de Poblacion Cordillera que funciona sin resolucion sanitaria y bota olores fuertes. Espero una pronta solucion!!,Permisos y Patentes Comerciales
"sr. alcalde, hay un hoyo enorme en calle San Martin por el sector poniente que ya provoco que un auto se pinchara, es peligroso porfavor arreglenlo. Espero puedan solucionarlo pronto, gracias.",Vialidad y Pavimentación
quiero saber pq el local de calle Los Copihues sigue abierto si los vecinos ya denunciamos que no tiene patente comercial vigente. Ya no sabemos a quien mas recurrir.,Permisos y Patentes Comerciales
"reclamo xq el semaforo peatonal del sector norte no funciona hace mas de un mes y es my peligroso cruzar ahi. Espero puedan solucionarlo pronto, gracias",Vialidad y Pavimentación
"el sitio eriazo de calle Los Jazmines se ha convertido en un foco de delincuencia, de noche se juntan a robar y a consumir. Ojala le puedan poner atencion a esto.",Seguridad Ciudadana
"el poste que esta frente a mi casa en calle O'Higgins tiene la luz encendida todo el dia y de noche se apaga, esta al reves. Porfavor tomen cartas en el asunto.",Alumbrado Público
"Sr. alcalde, el semaforo de la esquina de El Bosque con la principal lleva mas de 20 dias malo y esta generando tacos y accidentes. Muchas gracias por su tiempo!!",Vialidad y Pavimentación
quiero reclamar xq hay un almacen cerca del paradero que vende alcohol a menores y no se si tiene la patente correspondiente. Ojala le puedan poner atencion a esto!!,Permisos y Patentes Comerciales
"el foco de la esquina de mi casa en Vicuna Mackenna esta quemado hace bastante tiempo, ya avise antes y nadie ha venido a cambiarlo. Porfavor tomen cartas en el asunto.",Alumbrado Público
"hace mas de 20 dias que un grupo de encapuchados anda rondando por calle Arturo Prat, varios vecinos ya llamaron a carabineros pero no llegan a tiempo. Espero puedan solucionarlo pronto, gracias!!",Seguridad Ciudadana
"la plaza del sector sur quedo destruida despues de una fiesta del fin de semana, rompieron bancas y plantas, hay q reponer todo. Saludos",Áreas Verdes
"hola, el pasto y la maleza de la vereda en calle Los Alamos ya casi tapan la calzada, ademas hay bastante basura acumulada. Porfavor tomen cartas en el asunto.",Aseo y Ornato
hace 3 dias que el poste de la esquina de Las Rosas esta apagado y justo ahi es donde han asaltado a dos vecinos ultimamente.,Alumbrado Público
"frente al almacen de la esquina hay un perro muerto en la calle hace como bastante tiempo y nadie lo ha retirado, da mucho asco y hay moscas por todos lados. Ya no sabemos a quien mas recurrir.",Aseo y Ornato
"hola municipio, el kiosco del centro crecio y ahora ocupa media vereda con mesas, sin permiso municipal para eso segun tengo entendido. Ojala le puedan poner atencion a esto.",Permisos y Patentes Comerciales
"los tachos de basura de la plaza de Poblacion El Progreso estan quebrados y el pasto lleno de vidrios, es peligroso para los ninos que andan descalzos. Quedo atento a una respuesta",Áreas Verdes
"Buen dia, quiero denunciar que cerca del jardin infantil la gente bota escombros de construccion ilegalmente y ya se hizo un basural enorme. Ya no sabemos a quien mas recurrir.",Aseo y Ornato
"en la Villa Sol Naciente varios postes no tienen ampolleta hace mas de 20 dias, de noche es imposible ver por donde uno camina. Porfavor tomen cartas en el asunto",Alumbrado Público
necesitamos que poden los arboles de calle Ignacio Carrera Pinto porque las ramas ya estan tocando los cables de luz. Muchas gracias por su tiempo!!,Áreas Verdes
"hace una semana que no retiran los escombros que dejaron en la vereda de calle Las Rosas, atras del colegio, y estan estorbando el paso de la gente. Saludos",Aseo y Ornato
"reclamo xq el furgon de seguridad municipal ya no pasa por la cuadra de la plaza como antes, y justo ahora es cuando mas robos hay. Quedo atento a una respuesta.",Seguridad Ciudadana
los vecinos del sector poniente estamos organizando rondas propias porque los robos no paran y la municipalidad no ha respondido.,Seguridad Ciudadana
"Sr. alcalde, el paso peatonal frente al colegio de la villa de al lado esta borrado hace tiempo y los autos no respetan a los ninos que cruzan. Porfavor tomen cartas en el asunto.",Vialidad y Pavimentación
"Buenos dias, necesitamos que poden los arboles de calle El Roble porque las ramas ya estan tocando los cables de luz. Gracias de antemano",Áreas Verdes
"reclamo xq el furgon de seguridad municipal ya no pasa por el pasaje de atras como antes, y justo ahora es cuando mas robos hay. Ojala le puedan poner atencion a esto",Seguridad Ciudadana
quiero reclamar xq hay un almacen frente al almacen de la esquina que vende alcohol a menores y no se si tiene la patente correspondiente. Muchas gracias por su tiempo,Permisos y Patentes Comerciales
"buen dia, hace bastante tiempo que no riegan las areas verdes de calle Los Copihues, todo el pasto se esta secando y los arboles nuevos se van a morir. Ya no sabemos a quien mas recurrir.",Áreas Verdes
los vecinos del barrio alto estamos organizando rondas propias porque los robos no paran y la municipalidad no ha respondido. Ojala le puedan poner atencion a esto.,Seguridad Ciudadana
"buenas tardes, llevamos mas de un mes sin luz en todo el pasaje de calle Vicuna Mackenna, ya reclamamos por telefono y no ha pasado nada. Quedo atento a una respuesta.",Alumbrado Público
"Buen dia, el pasto y la maleza de la vereda en calle Las Acacias ya casi tapan la calzada, ademas hay bastante basura acumulada. Porfavor tomen cartas en el asunto",Aseo y Ornato
"sr. alcalde, el local que abrieron en calle Ignacio Carrera Pinto pone musica hasta muy tarde y creo q no tiene patente para funcionar asi. Quedo atento a una respuesta",Permisos y Patentes Comerciales
"hay un negocio por el puente que hace fiestas clandestinas los fines de semana, con musica fuerte y venta de alcohol sin permiso. Ya no sabemos a quien mas recurrir!!",Permisos y Patentes Comerciales
"llevamos 3 dias esperando que repongan el pavimento de calle Balmaceda, quedo puro hoyo despues de las obras del alcantarillado. Ya no sabemos a quien mas recurrir",Vialidad y Pavimentación
necesitamos urgente una camara de seguridad en la esquina de Los Almendros porque ahi asaltaron a dos personas esta semana. Porfavor tomen cartas en el asunto.,Seguridad Ciudadana
los vecinos del sector poniente llevamos bastante tiempo pidiendo que manden a limpiar el canal que esta lleno de basura y da mal olor.,Aseo y Ornato
"hola, el paso peatonal frente al colegio del sector oriente esta borrado hace tiempo y los autos no respetan a los ninos que cruzan. Porfavor tomen cartas en el asunto.",Vialidad y Pavimentación
"hace mas de 20 dias que las areas verdes de Poblacion San Rafael no se les pasa la maquina, el pasto esta altisimo y se esconden roedores. Quedo atento a una respuesta.",Áreas Verdes
"quiero reclamar xq las luces de la plaza de Poblacion El Bosque nunca las prenden aunque este oscuro, parece que el sensor esta malo. Quedo atento a una respuesta",Alumbrado Público
los vecinos del sector norte llevamos varios meses pidiendo que manden a limpiar el canal que esta lleno de basura y da mal olor. Gracias de antemano.,Aseo y Ornato
"el juego de resbalin de la plaza del sector oriente esta oxidado y con el fierro filoso, ya casi corta a un nino. Quedo atento a una respuesta.",Áreas Verdes
"en la Poblacion Vista Hermosa la plaza esta abandonada, el pasto crecido, los arbustos sin podar y da la sensacion de que a nadie le importa. Saludos!!",Áreas Verdes
"hola municipio, el pasto de la plaza de Poblacion Vista Hermosa no lo cortan hace 3 dias, ya esta enorme y se esconden ahi los perros vagos. Quedo atento a una respuesta.",Áreas Verdes
"buenos dias, en la plaza de Poblacion Los Heroes se juntan a beber y a pelear todas las noches, los vecinos tenemos miedo de salir. Espero una pronta solucion.",Seguridad Ciudadana
"Buenos dias, el kiosco del sector poniente crecio y ahora ocupa media vereda con mesas, sin permiso municipal para eso segun tengo entendido. Ya no sabemos a quien mas recurrir.",Permisos y Patentes Comerciales
"los juegos infantiles de la plaza Poblacion Los Heroes estan todos oxidados y rotos, mi hija se corto con un fierro el otro dia. Saludos.",Áreas Verdes
"Buenos dias, pedimos mas rondas de carabineros para Villa Portales porque hace mas de 20 dias hubo dos asaltos en la misma cuadra. Ya no sabemos a quien mas recurrir.",Seguridad Ciudadana
"buenos dias, hay un colchon y varios muebles viejos botados hace un mes frente a la iglesia, porfavor manden a retirarlos. Saludos",Aseo y Ornato
"hay comercio ambulante instalado hace 10 dias atras del colegio sin ningun permiso, ocupan toda la vereda y no dejan pasar a la gente. Espero puedan solucionarlo pronto, gracias.",Permisos y Patentes Comerciales
"Hola municipio, quiero denunciar que cerca de la plaza la gente bota escombros de construccion ilegalmente y ya se hizo un basural enorme. Ojala le puedan poner atencion a esto!!",Aseo y Ornato
"hay un galpon en Poblacion Los Heroes que funciona como bodega sin permiso de funcionamiento, ademas genera mucho ruido de camiones en la noche. Muchas gracias por su tiempo.",Permisos y Patentes Comerciales
"cerca del paradero hay un perro muerto en la calle hace como un par de semanas y nadie lo ha retirado, da mucho asco y hay moscas por todos lados. Ojala le puedan poner atencion a esto.",Aseo y Ornato
"hace mas de un mes que las areas verdes de Poblacion El Progreso no se les pasa la maquina, el pasto esta altisimo y se esconden roedores. Ojala le puedan poner atencion a esto.",Áreas Verdes
"hace falta un lomo de toro urgente en calle Yungay por el puente, los autos pasan como si fuera autopista y ya casi atropellan a un vecino. Espero una pronta solucion",Vialidad y Pavimentación
"estimados, el sistema de riego de la plaza de calle Santa Rosa lleva un mes malo y las plantas se estan secando todas. Quedo atento a una respuesta",Áreas Verdes
"buenos dias, pedimos hace varias semanas que planten mas arboles en calle Bernardo O'Higgins porque en verano hace un calor insoportable sin sombra.",Áreas Verdes
"reclamo xq instalaron una discoteca improvisada en una casa de calle Pedro de Valdivia, cobran entrada y no creo que tengan patente para eso. Ya no sabemos a quien mas recurrir.",Permisos y Patentes Comerciales
"quiero saber pq el local de calle Vicuna Mackenna sigue abierto si los vecinos ya denunciamos que no tiene patente comercial vigente. Espero puedan solucionarlo pronto, gracias.",Permisos y Patentes Comerciales
"necesitamos urgente una camara de seguridad en la esquina de El Roble porque ahi asaltaron a dos personas esta semana. Espero puedan solucionarlo pronto, gracias!!",Seguridad Ciudadana
hace un mes que reclamamos por el negocio de comida de Poblacion San Rafael que funciona sin resolucion sanitaria y bota olores fuertes. Ya no sabemos a quien mas recurrir!!,Permisos y Patentes Comerciales
"Hola municipio, pedimos mas rondas de carabineros para Poblacion Cordillera porque hace varios meses hubo dos asaltos en la misma cuadra. Quedo atento a una respuesta",Seguridad Ciudadana
"Buenas tardes, el restaurant del centro boto sus desechos a la calle de nuevo, ademas dudo que tenga los permisos sanitarios al dia. Porfavor tomen cartas en el asunto.",Permisos y Patentes Comerciales
"atras del colegio el agua de lluvia se acumula en la calle y forma una laguna enorme porque no hay rejillas de desague. Espero puedan solucionarlo pronto, gracias.",Vialidad y Pavimentación
cerca del jardin infantil el agua de lluvia se acumula en la calle y forma una laguna enorme porque no hay rejillas de desague.,Vialidad y Pavimentación
"quiero denunciar que en calle Las Acacias hay una casa que parece un punto de venta de drogas, entra y sale gente a toda hora. Espero puedan solucionarlo pronto, gracias.",Seguridad Ciudadana
"el alumbrado publico de la cancha de Poblacion Nueva Amanecer no sirve, los ninos que juegan de noche no ven nada y se pueden accidentar. Espero puedan solucionarlo pronto, gracias.",Alumbrado Público
"hace un mes que un grupo de encapuchados anda rondando por calle Simon Bolivar, varios vecinos ya llamaron a carabineros pero no llegan a tiempo. Espero una pronta solucion",Seguridad Ciudadana
necesitamos urgente una camara de seguridad en la esquina de Las Torres porque ahi asaltaron a dos personas esta semana. Gracias de antemano.,Seguridad Ciudadana
"los tachos de basura de la plaza de Villa Portales estan quebrados y el pasto lleno de vidrios, es peligroso para los ninos que andan descalzos. Espero una pronta solucion.",Áreas Verdes
